pbs position pO mt rep
-0.015560011375617272 209.0 5.0 3.0 1.0
-0.04905358794679948 1037.0 4.0 3.0 1.0
-0.017555957471796522 1630.0 0.0 3.0 1.0
-0.04905358794679948 1922.0 4.0 3.0 1.0
-0.04905358794679948 2132.0 5.0 3.0 1.0
-0.04905358794679948 2587.0 0.0 3.0 1.0
0.014009096282100855 3033.0 0.0 3.0 1.0
0.01603263109902793 3542.0 0.0 3.0 1.0
-0.017555957471796522 5388.0 4.0 3.0 1.0
-0.021295675305051436 5642.0 4.0 3.0 1.0
-0.017555957471796522 5784.0 4.0 3.0 1.0
0.014009096282100855 5827.0 4.0 3.0 1.0
-0.04905358794679948 6599.0 0.0 3.0 1.0
-0.017555957471796522 7109.0 4.0 3.0 1.0
0.01603263109902793 7541.0 0.0 3.0 1.0
-0.017555957471796522 7850.0 0.0 3.0 1.0
-0.01415440802649839 8857.0 5.0 3.0 1.0
-0.03220897425005407 10783.0 0.0 3.0 1.0
-0.021295675305051436 12526.0 4.0 3.0 1.0
-0.021295675305051436 14553.0 4.0 3.0 1.0
0.009207801483062175 14827.0 0.0 3.0 1.0
0.009207801483062175 14852.0 0.0 3.0 1.0
0.009207801483062175 15421.0 0.0 3.0 1.0
-0.013354478426930383 17838.0 0.0 3.0 1.0
-0.004500367384174142 18033.0 7.0 3.0 1.0
0.0663052666858003 18749.0 4.0 3.0 1.0
-0.052908597736249424 19619.0 0.0 3.0 1.0
-0.052908597736249424 19768.0 4.0 3.0 1.0
0.011772230397772518 19769.0 4.0 3.0 1.0
-0.052908597736249424 22464.0 4.0 3.0 1.0
0.011772230397772518 22683.0 0.0 3.0 1.0
0.009207801483062175 22758.0 0.0 3.0 1.0
0.009207801483062175 25646.0 4.0 3.0 1.0
-0.05718485632854625 26530.0 0.0 3.0 1.0
-0.05718485632854625 27321.0 4.0 3.0 1.0
-0.05718485632854625 27444.0 0.0 3.0 1.0
-0.021295675305051436 28169.0 4.0 3.0 1.0
-0.03946803071947723 28212.0 0.0 3.0 1.0
-0.013354478426930383 28486.0 0.0 3.0 1.0
-0.05841702576968935 28855.0 4.0 3.0 1.0
-0.05841702576968935 29069.0 4.0 3.0 1.0
-0.03946803071947723 29239.0 0.0 3.0 1.0
-0.0013269436126309153 30496.0 4.0 3.0 1.0
-0.0699990250214706 30510.0 0.0 3.0 1.0
-0.04967172159073249 32559.0 4.0 3.0 1.0
-0.04967172159073249 34079.0 4.0 3.0 1.0
-0.016087964155898915 34463.0 4.0 3.0 1.0
0.0015431734563263314 37194.0 5.0 3.0 1.0
-0.014161213121616202 37485.0 0.0 3.0 1.0
-0.016087964155898915 37518.0 5.0 3.0 1.0
-0.04361648525690551 38322.0 4.0 3.0 1.0
-0.014161213121616202 39602.0 0.0 3.0 1.0
-0.03163990945371001 40630.0 0.0 3.0 1.0
-0.05312985506576068 42237.0 0.0 3.0 1.0
-0.04406144597179032 42896.0 0.0 3.0 1.0
-0.04406144597179032 43319.0 0.0 3.0 1.0
-0.06971683760968944 46297.0 0.0 3.0 1.0
-0.05562995997441503 46492.0 0.0 3.0 1.0
0.0014424669178239938 47206.0 4.0 3.0 1.0
-0.0571774417448877 53512.0 4.0 3.0 1.0
0.01584085701124971 53880.0 4.0 3.0 1.0
-0.042104129536143314 53902.0 0.0 3.0 1.0
0.01244505269624284 54061.0 4.0 3.0 1.0
0.01244505269624284 54568.0 0.0 3.0 1.0
0.004885459935304995 54835.0 4.0 3.0 1.0
-0.061426874069429815 55766.0 4.0 3.0 1.0
-0.04712320737965939 56694.0 0.0 3.0 1.0
-0.00040087896167123604 57475.0 4.0 3.0 1.0
-0.061426874069429815 57494.0 4.0 3.0 1.0
0.06021732960681722 57784.0 4.0 3.0 1.0
-0.004781324375506327 58293.0 5.0 3.0 1.0
-0.00040087896167123604 59163.0 4.0 3.0 1.0
-0.040880221327471045 60409.0 0.0 3.0 1.0
-0.061426874069429815 60630.0 0.0 3.0 1.0
-0.04712320737965939 61178.0 0.0 3.0 1.0
-3.996667211313967e-05 61841.0 7.0 3.0 1.0
-0.040880221327471045 62354.0 0.0 3.0 1.0
0.06021732960681722 62766.0 4.0 3.0 1.0
-0.00040087896167123604 63980.0 4.0 3.0 1.0
-0.06507420692384125 64497.0 5.0 3.0 1.0
-0.0006210667327151239 65559.0 5.0 3.0 1.0
-0.040880221327471045 66015.0 0.0 3.0 1.0
-0.040880221327471045 66275.0 0.0 3.0 1.0
-0.040880221327471045 67771.0 0.0 3.0 1.0
0.006235079117289141 68926.0 4.0 3.0 1.0
-0.004337346473171648 70375.0 7.0 3.0 1.0
-0.052935505506675445 72806.0 4.0 3.0 1.0
-0.052935505506675445 73622.0 0.0 3.0 1.0
-0.037160974406276304 73857.0 0.0 3.0 1.0
-0.052935505506675445 74871.0 4.0 3.0 1.0
0.06592429679616957 75618.0 4.0 3.0 1.0
-0.06533990596959918 75961.0 0.0 3.0 1.0
0.0 75998.0 0.0 3.0 1.0
-0.0008560738237566919 78785.0 5.0 3.0 1.0
0.0 79035.0 0.0 3.0 1.0
 80366.0 0.0 3.0 1.0
-0.06901781436621357 80379.0 0.0 3.0 1.0
 81004.0 0.0 3.0 1.0
-0.0008560738237566919 81421.0 8.0 3.0 1.0
0.0010261162900262744 81871.0 4.0 3.0 1.0
 82977.0 0.0 3.0 1.0
-0.004497149345045484 83995.0 0.0 3.0 1.0
-0.004497149345045484 84375.0 0.0 1.0 1.0
0.008322301439452173 85783.0 0.0 3.0 1.0
0.008322301439452173 86042.0 0.0 3.0 1.0
0.0885804821821281 86215.0 5.0 3.0 1.0
-0.07018246195054512 86626.0 5.0 3.0 1.0
0.008322301439452173 87028.0 0.0 3.0 1.0
0.008322301439452173 87353.0 0.0 3.0 1.0
-0.005252573043349057 88828.0 4.0 3.0 1.0
0.008322301439452173 89241.0 0.0 3.0 1.0
-0.002915513749900179 90213.0 8.0 3.0 1.0
0.09197360732019302 90572.0 4.0 3.0 1.0
0.008555921239929792 91010.0 0.0 3.0 1.0
0.008555921239929792 91224.0 0.0 3.0 1.0
0.008672822780966039 92731.0 0.0 3.0 1.0
0.008672822780966039 93115.0 0.0 3.0 1.0
0.008672822780966039 93407.0 0.0 3.0 1.0
-0.07243089913604112 94132.0 5.0 3.0 1.0
0.008672822780966039 94791.0 0.0 3.0 1.0
0.008672822780966039 95651.0 0.0 3.0 1.0
-0.0054352423495307445 96266.0 4.0 1.0 1.0
-0.0054352423495307445 96336.0 4.0 3.0 1.0
0.008672822780966039 96680.0 0.0 3.0 1.0
0.008672822780966039 97364.0 0.0 3.0 1.0
0.008672822780966039 97769.0 0.0 3.0 1.0
0.008672822780966039 97880.0 0.0 1.0 1.0
0.008672822780966039 98390.0 0.0 3.0 1.0
-0.07243089913604112 98445.0 4.0 3.0 1.0
0.008672822780966039 98560.0 0.0 3.0 1.0
-0.068791323659743 98605.0 5.0 3.0 1.0
0.004430299669903659 98739.0 0.0 3.0 1.0
0.004430299669903659 99345.0 0.0 1.0 1.0
0.004430299669903659 99722.0 0.0 3.0 1.0
-0.008299158329745426 100267.0 0.0 3.0 1.0
-0.00268855979919719 101435.0 8.0 3.0 1.0
-0.00975325310207939 102072.0 4.0 3.0 1.0
-0.014161213121616202 102344.0 0.0 3.0 1.0
-0.074641406234909 102471.0 4.0 3.0 1.0
-0.014161213121616202 102678.0 0.0 3.0 1.0
-0.074641406234909 102807.0 0.0 3.0 1.0
-0.014161213121616202 103143.0 0.0 3.0 1.0
-0.00975325310207939 103246.0 4.0 3.0 1.0
-0.01389927502986743 103843.0 4.0 3.0 1.0
-0.0803283039243412 105004.0 4.0 3.0 1.0
-0.09257936154025087 105386.0 0.0 3.0 1.0
-0.00268855979919719 107200.0 7.0 3.0 1.0
-0.014551115248343311 107884.0 0.0 3.0 1.0
-0.014551115248343311 107985.0 0.0 3.0 1.0
0.10111347019380415 108914.0 5.0 3.0 1.0
-0.014551115248343311 109035.0 0.0 3.0 1.0
-0.11368347015718541 110538.0 4.0 3.0 1.0
-0.07068372385543506 111340.0 4.0 3.0 1.0
-0.04370064101893226 115154.0 4.0 3.0 1.0
0.019151361426367308 115479.0 4.0 3.0 1.0
0.019151361426367308 117170.0 4.0 3.0 1.0
-0.06964728625353858 117459.0 4.0 3.0 1.0
0.0002828987868850165 118094.0 0.0 3.0 1.0
-0.04370064101893226 118176.0 4.0 3.0 1.0
0.0 118583.0 0.0 3.0 1.0
0.019151361426367308 119116.0 4.0 3.0 1.0
0.019151361426367308 119868.0 4.0 3.0 1.0
-0.06964728625353858 121242.0 4.0 1.0 1.0
0.011353941559511986 121561.0 0.0 3.0 1.0
0.0002828987868850165 121967.0 0.0 3.0 1.0
-0.04370064101893226 122379.0 4.0 3.0 1.0
0.12467548502213185 122744.0 4.0 3.0 1.0
0.019151361426367308 127300.0 4.0 3.0 1.0
0.07765350026176432 127963.0 4.0 3.0 1.0
0.0002828987868850165 128727.0 4.0 3.0 1.0
-0.03329759545142977 129814.0 0.0 3.0 1.0
0.08152382445729724 130698.0 4.0 3.0 1.0
0.0002094327364689433 131768.0 4.0 3.0 1.0
0.0009701108485551474 131869.0 4.0 3.0 1.0
0.019151361426367308 133913.0 4.0 3.0 1.0
0.0002094327364689433 134732.0 0.0 3.0 1.0
0.005884274602093061 136339.0 8.0 3.0 1.0
-0.03329759545142977 137119.0 4.0 3.0 1.0
-0.03329759545142977 137489.0 4.0 3.0 1.0
0.019151361426367308 137490.0 4.0 3.0 1.0
0.08152382445729724 138363.0 4.0 3.0 1.0
0.019151361426367308 139829.0 5.0 3.0 1.0
0.07427370888158916 139905.0 4.0 3.0 1.0
 145377.0 0.0 3.0 1.0
0.019151361426367308 146042.0 4.0 3.0 1.0
-0.034695845354451624 146465.0 4.0 3.0 1.0
-0.034695845354451624 146598.0 4.0 3.0 1.0
0.019151361426367308 148802.0 0.0 3.0 1.0
-0.034695845354451624 149096.0 4.0 3.0 1.0
0.019151361426367308 149276.0 4.0 3.0 1.0
 150307.0 0.0 3.0 1.0
0.019151361426367308 150767.0 4.0 1.0 1.0
0.001248141583656269 151876.0 4.0 3.0 1.0
-0.034695845354451624 152189.0 0.0 1.0 1.0
-0.004262367041615523 152680.0 6.0 3.0 1.0
0.019151361426367308 153739.0 0.0 3.0 1.0
-0.01811596552824315 154229.0 8.0 3.0 1.0
-0.034695845354451624 154649.0 4.0 3.0 1.0
